Designator,Mid X,Mid Y,Rotation,Layer
BZ1,164.7,-105.3,0.0,bottom
C1,176.8,-69.6,0.0,top
C11,55.3,-44.7,180.0,bottom
C12,57.6,-47.48,90.0,top
C13,168.3,-79.88,90.0,bottom
C14,165.3,-78.22,270.0,bottom
C15,171.72,-75.1,180.0,top
C16,163.38,-58.0,180.0,top
C17,162.32,-56.9,0.0,top
C18,171.68,-76.2,180.0,top
C19,160.0,-33.9,0.0,top
C2,176.4,-64.3,0.0,top
C20,165.9,-35.2,0.0,top
C21,147.12,-66.8,0.0,bottom
C22,136.7,-76.18,90.0,top
C23,149.32,-104.0,180.0,bottom
C24,148.22,-116.6,0.0,top
C25,151.02,-116.6,0.0,top
C26,153.8,-116.6,0.0,top
C27,156.88,-116.6,180.0,top
C28,159.52,-116.6,180.0,top
C29,162.28,-116.6,180.0,top
C3,178.7,-72.6,180.0,bottom
C30,58.7,-47.5,90.0,top
C31,45.3,-44.7,0.0,bottom
C32,44.7,-45.9,0.0,top
C33,44.68,-43.4,0.0,top
C34,44.7,-52.8,0.0,top
C35,61.3,-46.7,90.0,top
C36,66.0,-49.7,180.0,top
C37,68.3,-45.0,90.0,top
C38,70.3,-44.95,90.0,top
C4,137.52,-98.1,0.0,top
C40,59.7,-47.52,90.0,top
C41,176.82,-67.1,0.0,top
C42,71.8,-45.68,90.0,top
C43,176.35,-60.9,0.0,top
C44,175.1,-75.35,270.0,top
C45,73.0,-89.7,180.0,top
C5,79.35,-51.7,180.0,bottom
C6,142.35,-49.2,180.0,bottom
C7,104.4,-69.5,270.0,bottom
C8,112.9,-47.8,0.0,bottom
C9,40.8,-102.3,0.0,bottom
CR1,52.4,-44.8,90.0,top
D1,77.4,-36.8,90.0,top
D10,92.2,-36.8,90.0,top
D11,55.1,-36.8,90.0,top
D12,95.9,-36.8,90.0,top
D129,42.7625,-73.0,180.0,top
D13,51.4,-36.8,90.0,top
D14,47.7,-36.8,90.0,top
D15,99.6,-36.8,90.0,top
D16,103.3,-36.8,90.0,top
D17,107.0,-36.8,90.0,top
D18,110.7,-36.8,90.0,top
D19,114.4,-36.8,90.0,top
D2,73.7,-36.8,90.0,top
D20,118.1,-36.8,90.0,top
D21,121.8,-36.8,90.0,top
D22,125.5,-36.8,90.0,top
D23,129.2,-36.8,90.0,top
D24,132.9,-36.8,90.0,top
D25,136.6,-36.8,90.0,top
D26,140.3,-36.8,90.0,top
D27,144.0,-36.8,90.0,top
D28,147.7,-36.8,90.0,top
D29,151.4,-36.8,90.0,top
D3,81.1,-36.8,90.0,top
D30,155.1,-36.8,90.0,top
D31,158.8,-36.8,90.0,top
D32,162.48,-36.8,90.0,top
D33,155.5,-87.9,90.0,top
D34,168.3,-87.8,90.0,top
D35,141.75,-77.35,0.0,top
D36,47.5,-86.1,0.0,top
D37,47.5,-88.9,0.0,top
D38,47.5,-91.7,0.0,top
D39,47.5,-94.5,0.0,top
D4,70.0,-36.8,90.0,top
D40,47.5,-111.5,0.0,top
D41,47.5,-108.7,0.0,top
D42,47.5,-105.9,0.0,top
D43,47.5,-103.1,0.0,top
D44,43.2,-98.8,90.0,top
D45,40.4,-98.8,90.0,top
D46,37.6,-98.8,90.0,top
D47,34.8,-98.8,90.0,top
D48,51.9,-98.8,270.0,top
D49,54.7,-98.8,270.0,top
D5,84.8,-36.8,90.0,top
D50,57.5,-98.8,270.0,top
D51,60.3,-98.8,270.0,top
D6,66.2,-36.8,90.0,top
D68,43.4375,-61.05,180.0,top
D69,170.75,-99.5,0.0,bottom
D7,62.5,-36.8,90.0,top
D70,161.9,-87.8,90.0,top
D8,88.5,-36.8,90.0,top
D9,58.8,-36.8,90.0,top
FB1,55.9,-46.1,270.0,top
J1,176.25,-95.8,270.0,bottom
J2,69.1,-99.86,0.0,top
J3,35.8675,-49.75,270.0,bottom
J4,35.9,-61.4,270.0,bottom
J5,35.9,-75.6,270.0,bottom
J6,178.0,-80.12,0.0,top
J7,159.73,-38.025,0.0,bottom
J8,155.55,-120.3,0.0,top
JP1,162.1,-49.47,0.0,bottom
JP2,137.63,-91.2,90.0,bottom
L1,65.7,-44.4,0.0,bottom
LED1,68.25,-62.42,0.0,top
LED2,141.75,-62.38,0.0,top
Q1,173.3175,-105.3,180.0,bottom
Q2,164.1,-92.4375,270.0,bottom
R1,176.712164,-72.6,180.0,bottom
R10,165.1,-95.8,270.0,bottom
R11,146.79,-75.6,0.0,bottom
R12,146.79,-78.0,0.0,bottom
R13,147.09,-59.2,0.0,bottom
R14,147.1,-63.0,0.0,bottom
R15,112.4,-54.2,0.0,bottom
R16,157.01,-105.6,0.0,bottom
R17,43.99,-103.9,0.0,bottom
R19,165.19,-74.0,0.0,bottom
R2,80.7,-48.7,180.0,bottom
R20,171.39,-73.9,0.0,bottom
R21,170.69,-94.0,0.0,top
R22,170.71,-97.0,180.0,bottom
R23,162.0,-78.7,180.0,top
R24,38.4,-73.09,270.0,top
R25,164.8,-69.1,0.0,top
R26,167.2,-32.51,90.0,bottom
R27,170.7,-93.0,0.0,top
R28,71.7,-96.81,90.0,top
R29,71.7,-94.3,270.0,top
R3,105.7,-69.49,90.0,bottom
R30,41.5,-49.1,270.0,top
R31,41.5,-51.11,270.0,top
R32,41.9,-53.19,270.0,top
R33,43.91,-56.5,0.0,top
R34,161.9,-84.8,0.0,bottom
R4,139.7,-48.7,180.0,bottom
R5,176.29,-104.3,180.0,bottom
R6,176.28,-102.49,270.0,bottom
R7,155.5,-84.8,0.0,bottom
R8,168.3,-84.8,0.0,bottom
R9,168.2,-93.4,0.0,bottom
SW1,137.55,-98.15,180.0,bottom
U1,173.3,-62.295,90.0,bottom
U10,44.5,-48.8,180.0,top
U11,166.9,-76.8,90.0,top
U12,164.8,-63.5,0.0,top
U13,151.485,-33.5,270.0,bottom
U14,162.75,-74.625,180.0,bottom
U15,142.025,-62.355,180.0,bottom
U16,153.114035,-107.071751,45.0,bottom
U17,65.5,-47.1,90.0,top
U2,75.7,-45.8925,180.0,bottom
U3,105.0,-62.3,0.0,top
U4,134.7543,-45.8925,180.0,bottom
U5,105.0,-62.3,270.0,bottom
U6,117.7051,-51.69,270.0,bottom
U7,47.4075,-99.3457,270.0,bottom
U9,167.7375,-76.95,0.0,bottom
